rho_msmt,phi_msmt,rho_dot_msmt,rho_pred,phi_pred,rho_dot_pred,rho_error,phi_error,rho_dot_error,px_gt,py_gt,vx_gt,vy_gt,px_rmse,py_rmse,vx_rmse,vy_rmse
8.61525,1.88451,-4.31162,8.63254,1.84016,-4.21552,-0.0172868,0.0443536,-0.0960998,-2.27474,8.32388,-1.80365,-4.87047,0.102008,0.086177,0.583828,0.4545
8.82103,1.83142,-4.16877,8.21202,1.87445,-4.14114,0.609008,-0.0430337,-0.0276214,-2.45348,7.83617,-1.77248,-4.8843,0.10162,0.0858576,0.581444,0.452635
8.00597,1.96604,-3.62555,7.83012,1.91185,-3.99425,0.17585,0.0541892,0.368702,-2.62944,7.34723,-1.74777,-4.89507,0.101295,0.0855531,0.579346,0.450841
7.73077,1.9406,-4.03438,7.47393,1.97002,-3.63289,0.256849,-0.0294272,-0.401492,-2.80326,6.85734,-1.72958,-4.90286,0.101094,0.0852499,0.577387,0.449042
6.86915,1.95532,-3.35666,7.1102,1.99977,-3.64454,-0.24105,-0.0444491,0.287878,-2.97559,6.36681,-1.71797,-4.90774,0.100764,0.0854879,0.575159,0.447847
7.04054,2.09136,-3.61806,6.761,2.0378,-3.3912,0.279543,0.0535515,-0.226858,-3.14709,5.87592,-1.71297,-4.90976,0.100575,0.0860152,0.573042,0.446738
6.09662,2.12286,-2.99148,6.38503,2.11033,-3.30081,-0.288405,0.0125324,0.309328,-3.31843,5.38496,-1.71458,-4.90893,0.100205,0.0860265,0.570797,0.445053
6.01823,2.17684,-3.19097,6.07311,2.18607,-2.88929,-0.054878,-0.00923264,-0.301674,-3.49026,4.89422,-1.72281,-4.90525,0.0998142,0.0858636,0.568616,0.443313
5.45231,2.26901,-2.36296,5.75477,2.2696,-2.69318,-0.302459,-0.000592108,0.330224,-3.66325,4.40398,-1.73763,-4.89868,0.0994931,0.0855302,0.566634,0.44175
5.78015,2.35065,-2.40935,5.53691,2.3697,-2.05946,0.243234,-0.0190498,-0.34989,-3.83806,3.91452,-1.75899,-4.88918,0.0995384,0.0852601,0.564983,0.440522
5.75128,2.39906,-1.5502,5.32333,2.44526,-1.8104,0.427948,-0.0462022,0.260204,-4.01533,3.42616,-1.78686,-4.87666,0.0993104,0.0849963,0.562833,0.43894
5.15539,2.54841,-1.02706,5.20837,2.52819,-1.22963,-0.0529784,0.0202172,0.202573,-4.19571,2.93919,-1.82113,-4.86104,0.099151,0.0847683,0.560777,0.437312
4.9986,2.64081,-0.775703,5.10402,2.64196,-0.616428,-0.105424,-0.0011487,-0.159275,-4.37985,2.45393,-1.86173,-4.84218,0.0990832,0.084449,0.55873,0.435726
4.7059,2.71934,0.36354,5.04878,2.75224,-0.119391,-0.34288,-0.0328936,0.48293,-4.56836,1.97072,-1.90853,-4.81994,0.0991156,0.0841862,0.556798,0.43429
5.18451,2.86092,0.871208,5.10546,2.86283,0.700748,0.0790559,-0.00191113,0.17046,-4.76186,1.48989,-1.9614,-4.79417,0.0995683,0.084147,0.5552,0.433129
5.10777,2.92274,1.07201,5.16827,2.95631,1.20827,-0.0604973,-0.0335721,-0.136267,-4.96095,1.01182,-2.02019,-4.76468,0.0996301,0.0839077,0.553224,0.431558
4.85074,3.10427,1.75578,5.24463,3.03681,1.48287,-0.393885,0.0674571,0.272907,-5.16621,0.536876,-2.08471,-4.73127,0.0993709,0.0837533,0.551205,0.430184
6.00513,3.19003,1.77637,5.39197,-3.13735,2.03148,0.613165,0.0441931,-0.255118,-5.3782,0.0654719,-2.15477,-4.69374,0.0990237,0.0839924,0.549452,0.429142
5.64632,-3.11599,2.50614,5.58328,-3.04474,2.3158,0.0630378,-0.0712573,0.190332,-5.59748,-0.401971,-2.23014,-4.65185,0.0986777,0.08409,0.548004,0.427837
5.35867,-3.00598,3.30434,5.88191,-2.99798,2.72086,-0.523242,-0.00799731,0.583479,-5.82456,-0.865006,-2.31058,-4.60536,0.0983239,0.0837999,0.546125,0.426453
5.88279,-2.87871,3.2551,6.19882,-2.91984,3.26914,-0.316029,0.0411279,-0.0140405,-6.05993,-1.32316,-2.39581,-4.55404,0.0980018,0.0836883,0.544288,0.425288
6.36176,-2.86134,4.18697,6.54011,-2.85632,3.523,-0.178355,-0.00501591,0.663974,-6.30406,-1.77593,-2.48555,-4.49762,0.0976609,0.0835918,0.542455,0.424303
7.32369,-2.84014,3.85602,6.95193,-2.79599,4.0379,0.371766,-0.0441557,-0.181881,-6.55738,-2.22281,-2.57946,-4.43585,0.0973223,0.0836973,0.540544,0.423694
7.62876,-2.78321,4.24815,7.3736,-2.76165,4.1312,0.25516,-0.0215611,0.116947,-6.82029,-2.66323,-2.6772,-4.36847,0.0970474,0.0835468,0.538655,0.422488
7.83203,-2.71786,4.17322,7.79494,-2.7129,4.31543,0.0370973,-0.00495439,-0.142213,-7.09316,-3.09663,-2.7784,-4.29523,0.096711,0.0839423,0.537034,0.422233
8.78236,-2.65716,4.41769,8.18959,-2.68132,4.30481,0.592768,0.0241556,0.112875,-7.37632,-3.5224,-2.88265,-4.21586,0.096398,0.0843481,0.535686,0.421837
8.46643,-2.66525,4.6454,8.63254,-2.65987,4.41325,-0.166116,-0.00538245,0.232146,-7.67004,-3.93992,-2.98953,-4.13012,0.0960714,0.0841858,0.534069,0.420645
